Stock Invested in,Sector,Value(Mn),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty
Maruti Suzuki India Ltd.,Passenger cars & utility vehicles,553.6,10.24%,-0.63%,10.87% (Sep 2025),0% (Nov 2024),34.20 k,0.00
Hero Motocorp Ltd.,2/3 wheelers,474,8.77%,-0.02%,8.79% (Sep 2025),0% (Nov 2024),85.50 k,4.50 k
Mahindra & Mahindra Ltd.,Passenger cars & utility vehicles,376.6,6.97%,0.24%,7.64% (Jun 2025),0% (Nov 2024),1.08 L,9.00 k
Swiggy Ltd.,E-retail/ e-commerce,332.1,6.14%,1.61%,6.14% (Oct 2025),0% (Nov 2024),8.10 L,2.70 L
Eternal Ltd.,E-retail/ e-commerce,314.6,5.82%,-0.57%,7.22% (Jul 2025),0% (Nov 2024),9.90 L,0.00
Bajaj Auto Ltd.,2/3 wheelers,280.1,5.18%,-0.24%,6.93% (Apr 2025),0% (Nov 2024),31.50 k,0.00
Adani Ports And Special Economic Zone Ltd.,Port & port services,261.3,4.83%,-0.18%,6.59% (May 2025),0% (Nov 2024),1.80 L,0.00
InterGlobe Aviation Ltd.,Airline,253.1,4.68%,-0.31%,7.82% (Jun 2025),0% (Nov 2024),45.00 k,0.00
WABCO India Ltd.,Auto components & equipments,223.6,4.14%,-0.47%,6.5% (Mar 2025),0% (Nov 2024),18.00 k,0.00
Great Eastern Shipping Co. Ltd.,Shipping,178.1,3.30%,0.11%,3.3% (Oct 2025),0% (Nov 2024),1.62 L,0.00