Period Invested For,â‚¹10000 Invested on,Latest Value,Absolute Returns,Annualised Returns,Category Avg,Rank within Category
1 Week,20-Nov-25,10026.2,0.26%,-,-0.13%,51/231
1 Month,27-Oct-25,10129.2,1.29%,-,0.02%,55/231
3 Month,26-Aug-25,10642.5,6.42%,-,4.22%,44/226
6 Month,27-May-25,11740.3,17.40%,-,6.54%,6/215
YTD,01-Jan-25,11892.9,18.93%,-,5.74%,11/201
1 Year,27-Nov-24,11691.2,16.91%,16.91%,5.67%,14/187
2 Year,24-Nov-23,15601.0,56.01%,24.75%,19.39%,20/144
3 Year,25-Nov-22,20442.6,104.43%,26.83%,20.01%,12/117
Since Inception,25-Oct-22,20690.0,106.90%,26.50%,14.24%,10/204
