Period Invested for,â‚¹10000 Invested on,Latest Value,Absolute Returns,Annualised Returns,Category Avg,Rank within Category
1 Week,20-Nov-25,10001.5,0.01%,-,-0.13%,94/231
1 Month,27-Oct-25,9971.7,-0.28%,-,0.02%,125/231
3 Month,26-Aug-25,10590.1,5.90%,-,4.22%,54/226
6 Month,27-May-25,11644.9,16.45%,-,6.54%,10/215
YTD,01-Jan-25,11925.5,19.25%,-,5.74%,10/201
1 Year,27-Nov-24,11736.2,17.36%,17.36%,5.67%,11/187
2 Year,24-Nov-23,15813.1,58.13%,25.59%,19.39%,16/144
3 Year,25-Nov-22,19965.3,99.65%,25.84%,20.01%,20/117
5 Year,27-Nov-20,31102.1,211.02%,25.46%,21.38%,26/93
10 Year,27-Nov-15,37393.6,273.94%,14.09%,15.43%,46/65
Since Inception,02-Jan-13,102884.1,928.84%,19.79%,14.24%,47/204
