Period Invested For,â‚¹10000 Invested On,Latest Value,Absolute Returns,Annualised Returns,Category Avg,Rank within Category
1 Week,20-Nov-25,9995.4,-0.05%,-,-0.13%,100/231
1 Month,27-Oct-25,10018.5,0.18%,-,0.02%,99/231
3 Month,26-Aug-25,10607.2,6.07%,-,4.22%,49/226
6 Month,27-May-25,11664.0,16.64%,-,6.54%,9/215
YTD,01-Jan-25,11701.8,17.02%,-,5.74%,21/201
1 Year,27-Nov-24,11651.4,16.51%,16.51%,5.67%,16/187
2 Year,24-Nov-23,16396.7,63.97%,27.88%,19.39%,8/144
3 Year,25-Nov-22,21725.2,117.25%,29.42%,20.01%,4/117
Since Inception,28-Oct-22,21660.0,116.60%,28.47%,14.24%,8/204
